No.,Card,Type,Quantity
001/033,Entei ex,Fire,1×
002/033,Team Magma's Houndour,Fire,1×
003/033,Team Magma's Houndour,Fire,1×
004/033,Team Magma's Houndoom,Fire,1×
011/033,Team Magma's Aron,Fighting,2×
013/033,Team Magma's Lairon,Fighting,1×
014/033,Team Magma's Baltoy,Fighting,1×
015/033,Team Magma's Baltoy,Fighting,1×
016/033,Team Magma's Claydol,Fighting,1×
018/033,Team Magma's Aggron,FightingDarkness,1×
020/033,Team Magma's Poochyena,Darkness,1×
023/033,Team Magma's Mightyena,Darkness,1×
024/033,Potion,T,1×
025/033,Double Full Heal,T,1×
027/033,Team Magma Schemer,T [Su],1×
028/033,Team Magma Conspirator,T [Su],2×
030/033,Team Magma Belt,T [PT],1×
031/033,Team Magma Technical Machine 01,T [TM],1×
—,Fire Energy,Fire E,4×
—,Fighting Energy,Fighting E,5×
—,Darkness Energy,Darkness E,1×
